arquivo,linha_baseline,termos,classificacao,tratamento,trecho_original
docs/evidencias/catalogo_afirmacoes_dm027.json,514,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""pymc-labs/pymc-marketing,data_code_cochange,fabba92c96aa6a4ec6d42fb3241a8ed725995d0a,2022-03-07T15:11:29+00:00,2026-08-28T06:03:08+00:00,,not_available,Dimensão D não validada para dados MLflow; DATA_META detecta DVC.,structural,dimension_not_validated,reachable eligible history,,,proportion,249,2.1.0,1.2.0,20260911T204247182335Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,527,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,547,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""pymc-labs/pymc-marketing,cace_index,fabba92c96aa6a4ec6d42fb3241a8ed725995d0a,2022-03-07T15:11:29+00:00,2026-08-28T06:03:08+00:00,,not_available,Dimensão D não validada para dados MLflow; DATA_META detecta DVC.,structural,dimension_not_validated,reachable eligible history,,,proportion,249,2.1.0,1.2.0,20260911T204247182335Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,560,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,580,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""pymc-labs/pymc-marketing,provenance_coverage,fabba92c96aa6a4ec6d42fb3241a8ed725995d0a,2022-03-07T15:11:29+00:00,2026-08-28T06:03:08+00:00,,not_available,No runs/registry source ingested; tree scan is not a runtime census.,direct,not_collected,public runtime sources not collected,,,proportion,249,2.1.0,1.2.0,20260911T204247182335Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,593,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,613,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""pymc-labs/pymc-marketing,env_versioning_rate,fabba92c96aa6a4ec6d42fb3241a8ed725995d0a,2022-03-07T15:11:29+00:00,2026-08-28T06:03:08+00:00,,not_available,No runs/registry source ingested; tree scan is not a runtime census.,direct,not_collected,public runtime sources not collected,,,proportion,249,2.1.0,1.2.0,20260911T204247182335Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,626,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,646,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""pymc-labs/pymc-marketing,experiment_redundancy,fabba92c96aa6a4ec6d42fb3241a8ed725995d0a,2022-03-07T15:11:29+00:00,2026-08-28T06:03:08+00:00,,not_available,No runs/registry source ingested; tree scan is not a runtime census.,direct,not_collected,public runtime sources not collected,,,runs/promoted_version,249,2.1.0,1.2.0,20260911T204247182335Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,659,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,679,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""pymc-labs/pymc-marketing,static_mlflow_param_calls,fabba92c96aa6a4ec6d42fb3241a8ed725995d0a,2022-03-07T15:11:29+00:00,2026-08-28T06:03:08+00:00,24.0,observed,\""Candidatos sintáticos em CODE no SHA; sem inferência de execução, wrappers ou alias reatribuído.\"",proxy,,Python tree at selected SHA,24,1,syntactic_call_sites_at_sha,249,2.1.0,1.2.0,20260911T204247182335Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,692,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,712,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""pymc-labs/pymc-marketing,static_mlflow_metric_calls,fabba92c96aa6a4ec6d42fb3241a8ed725995d0a,2022-03-07T15:11:29+00:00,2026-08-28T06:03:08+00:00,6.0,observed,\""Candidatos sintáticos em CODE no SHA; sem inferência de execução, wrappers ou alias reatribuído.\"",proxy,,Python tree at selected SHA,6,1,syntactic_call_sites_at_sha,249,2.1.0,1.2.0,20260911T204247182335Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,725,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,745,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""pymc-labs/pymc-marketing,static_mlflow_artifact_calls,fabba92c96aa6a4ec6d42fb3241a8ed725995d0a,2022-03-07T15:11:29+00:00,2026-08-28T06:03:08+00:00,3.0,observed,\""Candidatos sintáticos em CODE no SHA; sem inferência de execução, wrappers ou alias reatribuído.\"",proxy,,Python tree at selected SHA,3,1,syntactic_call_sites_at_sha,249,2.1.0,1.2.0,20260911T204247182335Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,758,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,778,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""pymc-labs/pymc-marketing,static_mlflow_model_calls,fabba92c96aa6a4ec6d42fb3241a8ed725995d0a,2022-03-07T15:11:29+00:00,2026-08-28T06:03:08+00:00,2.0,observed,\""Candidatos sintáticos em CODE no SHA; sem inferência de execução, wrappers ou alias reatribuído.\"",proxy,,Python tree at selected SHA,2,1,syntactic_call_sites_at_sha,249,2.1.0,1.2.0,20260911T204247182335Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,791,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,811,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""open-edge-platform/anomalib,code_config_cochange,0b7fdb9dde453f6474ac93f77188f4224d442999,2021-11-26T06:00:32+00:00,2026-08-29T09:22:12+00:00,0.1721556886227545,observed,,structural,,reachable eligible history,115,668,proportion,123,2.1.0,1.2.0,20260911T204423270513Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,824,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,844,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""open-edge-platform/anomalib,config_magnitude,0b7fdb9dde453f6474ac93f77188f4224d442999,2021-11-26T06:00:32+00:00,2026-08-29T09:22:12+00:00,87.921875,observed,,structural,,reachable eligible history,11254,128,keys/config_commit,123,2.1.0,1.2.0,20260911T204423270513Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,857,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,877,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""open-edge-platform/anomalib,data_code_ratio_original,0b7fdb9dde453f6474ac93f77188f4224d442999,2021-11-26T06:00:32+00:00,2026-08-29T09:22:12+00:00,,not_available,Dimensão D não validada para dados MLflow; DATA_META detecta DVC.,structural,dimension_not_validated,reachable eligible history,,,ratio,123,2.1.0,1.2.0,20260911T204423270513Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,890,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,910,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""open-edge-platform/anomalib,data_code_cochange,0b7fdb9dde453f6474ac93f77188f4224d442999,2021-11-26T06:00:32+00:00,2026-08-29T09:22:12+00:00,,not_available,Dimensão D não validada para dados MLflow; DATA_META detecta DVC.,structural,dimension_not_validated,reachable eligible history,,,proportion,123,2.1.0,1.2.0,20260911T204423270513Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,923,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,943,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""open-edge-platform/anomalib,cace_index,0b7fdb9dde453f6474ac93f77188f4224d442999,2021-11-26T06:00:32+00:00,2026-08-29T09:22:12+00:00,,not_available,Dimensão D não validada para dados MLflow; DATA_META detecta DVC.,structural,dimension_not_validated,reachable eligible history,,,proportion,123,2.1.0,1.2.0,20260911T204423270513Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,956,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,976,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""open-edge-platform/anomalib,provenance_coverage,0b7fdb9dde453f6474ac93f77188f4224d442999,2021-11-26T06:00:32+00:00,2026-08-29T09:22:12+00:00,,not_available,No runs/registry source ingested; tree scan is not a runtime census.,direct,not_collected,public runtime sources not collected,,,proportion,123,2.1.0,1.2.0,20260911T204423270513Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,989,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1009,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""open-edge-platform/anomalib,env_versioning_rate,0b7fdb9dde453f6474ac93f77188f4224d442999,2021-11-26T06:00:32+00:00,2026-08-29T09:22:12+00:00,,not_available,No runs/registry source ingested; tree scan is not a runtime census.,direct,not_collected,public runtime sources not collected,,,proportion,123,2.1.0,1.2.0,20260911T204423270513Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,1022,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1042,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""open-edge-platform/anomalib,experiment_redundancy,0b7fdb9dde453f6474ac93f77188f4224d442999,2021-11-26T06:00:32+00:00,2026-08-29T09:22:12+00:00,,not_available,No runs/registry source ingested; tree scan is not a runtime census.,direct,not_collected,public runtime sources not collected,,,runs/promoted_version,123,2.1.0,1.2.0,20260911T204423270513Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,1055,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1075,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""open-edge-platform/anomalib,static_mlflow_param_calls,0b7fdb9dde453f6474ac93f77188f4224d442999,2021-11-26T06:00:32+00:00,2026-08-29T09:22:12+00:00,0.0,observed,\""Candidatos sintáticos em CODE no SHA; sem inferência de execução, wrappers ou alias reatribuído.\"",proxy,,Python tree at selected SHA,0,1,syntactic_call_sites_at_sha,123,2.1.0,1.2.0,20260911T204423270513Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,1088,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1108,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""open-edge-platform/anomalib,static_mlflow_metric_calls,0b7fdb9dde453f6474ac93f77188f4224d442999,2021-11-26T06:00:32+00:00,2026-08-29T09:22:12+00:00,0.0,observed,\""Candidatos sintáticos em CODE no SHA; sem inferência de execução, wrappers ou alias reatribuído.\"",proxy,,Python tree at selected SHA,0,1,syntactic_call_sites_at_sha,123,2.1.0,1.2.0,20260911T204423270513Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,1121,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1141,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""open-edge-platform/anomalib,static_mlflow_artifact_calls,0b7fdb9dde453f6474ac93f77188f4224d442999,2021-11-26T06:00:32+00:00,2026-08-29T09:22:12+00:00,0.0,observed,\""Candidatos sintáticos em CODE no SHA; sem inferência de execução, wrappers ou alias reatribuído.\"",proxy,,Python tree at selected SHA,0,1,syntactic_call_sites_at_sha,123,2.1.0,1.2.0,20260911T204423270513Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,1154,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1174,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""excerpt"": ""open-edge-platform/anomalib,static_mlflow_model_calls,0b7fdb9dde453f6474ac93f77188f4224d442999,2021-11-26T06:00:32+00:00,2026-08-29T09:22:12+00:00,0.0,observed,\""Candidatos sintáticos em CODE no SHA; sem inferência de execução, wrappers ou alias reatribuído.\"",proxy,,Python tree at selected SHA,0,1,syntactic_call_sites_at_sha,123,2.1.0,1.2.0,20260911T204423270513Z_1ce60b65_phase5_compute_metrics,pending_human_validation"""
docs/evidencias/catalogo_afirmacoes_dm027.json,1187,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1222,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1258,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1294,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1330,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1366,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1403,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1439,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1475,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1511,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1547,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1583,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1615,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1647,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1679,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1718,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1747,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1776,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1805,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1845,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1885,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1925,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,1965,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2005,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2045,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2085,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2125,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2165,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2205,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2245,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2285,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2325,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2365,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2405,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2445,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2485,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2525,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2565,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2605,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2645,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2685,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2725,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2765,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2805,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2845,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2885,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2925,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,2965,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,3005,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,3045,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,3085,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,3125,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,3165,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,3205,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,3245,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,3285,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,3325,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,3365,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
docs/evidencias/catalogo_afirmacoes_dm027.json,3405,pending,ambígua,Bytes preservados; temporalidade e cópia confirmada explicitadas no índice de evidências e estado final.,"""review_mode"": ""draft_pending_confirmation"","
